id,BetweennessCentrality,ClosenessCentrality,Degree,Outdegree,Indegree,AverageShortestPathLength,ClusteringCoefficient,Eccentricity,EdgeCount,IsSingleNode,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,Stress,TopologicalCoefficient
azure,3.88636265,0.239336493,10,5,5,4.178217822,0.5,8,10,FALSE,9.2,0,10,5,0.801361386,FALSE,0,108383,0.45
.net,0.200279114,0.227990971,16,8,8,4.386138614,0.785714286,8,16,FALSE,8.75,0,16,8,0.788366337,FALSE,0,11306,0.514705882
sql-server,0.212511169,0.231121281,18,9,9,4.326732673,0.638888889,8,18,FALSE,8.111111111,0,18,9,0.792079208,FALSE,0,11809,0.426900585
asp.net,11.03563211,0.278236915,26,13,13,3.594059406,0.397435897,7,26,FALSE,7.461538462,0,26,13,0.837871287,FALSE,0,228340,0.228365385
entity-framework,0.07839041,0.229545455,16,8,8,4.356435644,0.857142857,8,16,FALSE,9,0,16,8,0.790222772,FALSE,0,6253,0.529411765
wpf,0,0.221978022,12,6,6,4.504950495,1,8,12,FALSE,9.666666667,0,12,6,0.780940594,FALSE,0,0,0.604166667
linq,0.002376238,0.22246696,14,7,7,4.495049505,0.952380952,8,14,FALSE,9.428571429,0,14,7,0.781559406,FALSE,0,144,0.589285714
wcf,0.07839041,0.229545455,16,8,8,4.356435644,0.857142857,8,16,FALSE,9,0,16,8,0.790222772,FALSE,0,6253,0.529411765
c#,2.379985455,0.239336493,28,14,14,4.178217822,0.340659341,8,28,FALSE,5.857142857,0,28,14,0.801361386,FALSE,0,59751,0.331932773
tdd,0,1,2,1,1,1,0,1,2,FALSE,1,0,2,1,1,FALSE,0,0,0
agile,0,1,2,1,1,1,0,1,2,FALSE,1,0,2,1,1,FALSE,0,0,0
codeigniter,0.444315305,0.275956284,12,6,6,3.623762376,0.666666667,7,12,FALSE,9,0,12,6,0.836014851,FALSE,0,24956,0.409090909
ajax,1.366402105,0.291907514,14,7,7,3.425742574,0.666666667,6,14,FALSE,10.42857143,0,14,7,0.848391089,FALSE,0,69257,0.401098901
jquery,16.86949903,0.326860841,32,16,16,3.059405941,0.333333333,6,32,FALSE,8.1875,0,32,16,0.871287129,FALSE,0,428556,0.198170732
mysql,12.36606848,0.313664596,22,11,11,3.188118812,0.363636364,6,22,FALSE,8.363636364,0,22,11,0.863242574,FALSE,0,353440,0.258522727
css,3.326179634,0.291066282,28,14,14,3.435643564,0.395604396,7,28,FALSE,8,0,28,14,0.847772277,FALSE,0,103930,0.283163265
php,0.672944138,0.283707865,20,10,10,3.524752475,0.577777778,7,20,FALSE,9.2,0,20,10,0.84220297,FALSE,0,37193,0.353846154
javascript,1.365477674,0.290229885,24,12,12,3.445544554,0.515151515,7,24,FALSE,9.75,0,24,12,0.847153465,FALSE,0,92281,0.325
json,8.549173871,0.277472527,8,4,4,3.603960396,0.166666667,7,8,FALSE,7.25,0,8,4,0.837252475,FALSE,0,279704,0.3375
cloud,0,0.186691312,2,1,1,5.356435644,0,8,2,FALSE,4,0,2,1,0.727722772,FALSE,0,0,0
amazon-web-services,4.096315429,0.229024943,8,4,4,4.366336634,0.166666667,7,8,FALSE,3.25,0,8,4,0.78960396,FALSE,0,125604,0.34375
devops,1.087746824,0.22246696,6,3,3,4.495049505,0.666666667,7,6,FALSE,4,0,6,3,0.781559406,FALSE,0,47534,0.5
docker,2.494974546,0.222958057,8,4,4,4.485148515,0.333333333,7,8,FALSE,3,0,8,4,0.782178218,FALSE,0,74293,0.392857143
ios,2.620112054,0.202,12,6,6,4.95049505,0.466666667,9,12,FALSE,4,0,12,6,0.753094059,FALSE,0,75787,0.425925926
android,2.08069967,0.196116505,6,3,3,5.099009901,0,9,6,FALSE,5,0,6,3,0.743811881,FALSE,0,50556,0.333333333
android-studio,0,0.164227642,2,1,1,6.089108911,0,10,2,FALSE,3,0,2,1,0.681930693,FALSE,0,0,0
java,4.826048464,0.225950783,16,8,8,4.425742574,0.357142857,8,16,FALSE,5.5,0,16,8,0.785891089,FALSE,0,169837,0.3359375
typescript,0.937227723,0.186346863,4,2,2,5.366336634,0,9,4,FALSE,1.5,0,4,2,0.72710396,FALSE,0,23836,0.5
angular,0,0.157320872,2,1,1,6.356435644,0,10,2,FALSE,2,0,2,1,0.665222772,FALSE,0,0,0
angular2,1.867425743,0.227477477,4,2,2,4.396039604,0,8,4,FALSE,7.5,0,4,2,0.787747525,FALSE,0,47756,0.5
angularjs,7.688419454,0.290229885,26,13,13,3.445544554,0.307692308,7,26,FALSE,8.076923077,0,26,13,0.847153465,FALSE,0,253693,0.237762238
ionic-framework,0,0.225446429,2,1,1,4.435643564,0,8,2,FALSE,13,0,2,1,0.785272277,FALSE,0,0,0
reactjs,0.908277616,0.2525,16,8,8,3.96039604,0.5,8,16,FALSE,7.625,0,16,8,0.814975248,FALSE,0,70683,0.331521739
mongodb,4.257076416,0.276712329,16,8,8,3.613861386,0.321428571,7,16,FALSE,7,0,16,8,0.836633663,FALSE,0,141236,0.24137931
sass,0.512216039,0.263020833,18,9,9,3.801980198,0.611111111,7,18,FALSE,9.777777778,0,18,9,0.824876238,FALSE,0,30609,0.362139918
twitter-bootstrap,0,0.259640103,12,6,6,3.851485149,1,7,12,FALSE,12.33333333,0,12,6,0.821782178,FALSE,0,0,0.493333333
express,0.302868515,0.248157248,10,5,5,4.02970297,0.8,8,10,FALSE,8,0,10,5,0.810643564,FALSE,0,23443,0.421052632
node.js,0.714110587,0.251243781,14,7,7,3.98019802,0.571428571,8,14,FALSE,7.571428571,0,14,7,0.813737624,FALSE,0,56802,0.344155844
asp.net-web-api,3.48988335,0.253768844,14,7,7,3.940594059,0.571428571,8,14,FALSE,10,0,14,7,0.816212871,FALSE,0,106850,0.352040816
html5,0.567903338,0.264397906,20,10,10,3.782178218,0.533333333,7,20,FALSE,9.1,0,20,10,0.826113861,FALSE,0,26921,0.337037037
nginx,1.474177459,0.258974359,6,3,3,3.861386139,0.333333333,6,6,FALSE,5.666666667,0,6,3,0.821163366,FALSE,0,51701,0.380952381
apache,7.670873631,0.287749288,6,3,3,3.475247525,0.333333333,6,6,FALSE,8,0,6,3,0.84529703,FALSE,0,216036,0.365079365
linux,12.49940062,0.276712329,20,10,10,3.613861386,0.088888889,7,20,FALSE,3.1,0,20,10,0.836633663,FALSE,0,341172,0.14
scala,1.833333333,1,6,3,3,1,0.333333333,1,6,FALSE,1.666666667,0,6,3,1,FALSE,0,11,0.666666667
apache-spark,0,0.75,4,2,2,1.333333333,1,2,4,FALSE,2.5,0,4,2,0.888888889,FALSE,0,0,0.833333333
hadoop,0,0.75,4,2,2,1.333333333,1,2,4,FALSE,2.5,0,4,2,0.888888889,FALSE,0,0,0.833333333
rest,8.125183772,0.25440806,10,5,5,3.930693069,0.3,7,10,FALSE,5.2,0,10,5,0.816831683,FALSE,0,274385,0.4
api,0,0.203219316,2,1,1,4.920792079,0,8,2,FALSE,5,0,2,1,0.754950495,FALSE,0,0,0
sql,2.015049505,0.22246696,10,5,5,4.495049505,0.4,8,10,FALSE,8,0,10,5,0.781559406,FALSE,0,48014,0.444444444
mvc,0,0.218142549,2,1,1,4.584158416,0,8,2,FALSE,13,0,2,1,0.775990099,FALSE,0,0,0
vb.net,0,0.220524017,6,3,3,4.534653465,1,8,6,FALSE,12,0,6,3,0.779084158,FALSE,0,0,0.75
bash,0.056950495,0.226457399,6,3,3,4.415841584,0.666666667,8,6,FALSE,5.333333333,0,6,3,0.786509901,FALSE,0,2042,0.444444444
shell,0,0.217672414,4,2,2,4.594059406,1,8,4,FALSE,6.5,0,4,2,0.775371287,FALSE,0,0,0.65
git,3.955250248,0.239336493,8,4,4,4.178217822,0.166666667,8,8,FALSE,4.5,0,8,4,0.801361386,FALSE,0,100800,0.307692308
bootstrap,0,0.248768473,4,2,2,4.01980198,1,7,4,FALSE,15,0,4,2,0.811262376,FALSE,0,0,0.833333333
c++,1.544105507,0.21627409,8,4,4,4.623762376,0.333333333,8,8,FALSE,5,0,8,4,0.773514851,FALSE,0,60252,0.316666667
c,1.583412438,0.21627409,8,4,4,4.623762376,0.333333333,8,8,FALSE,5,0,8,4,0.773514851,FALSE,0,61377,0.316666667
python,5.82977002,0.248157248,14,7,7,4.02970297,0.142857143,7,14,FALSE,4,0,14,7,0.810643564,FALSE,0,181401,0.192857143
embedded,0,0.178130511,2,1,1,5.613861386,0,9,2,FALSE,4,0,2,1,0.711633663,FALSE,0,0,0
xamarin,0,0.19348659,2,1,1,5.168316832,0,9,2,FALSE,14,0,2,1,0.739480198,FALSE,0,0,0
unity3d,0,0.19348659,2,1,1,5.168316832,0,9,2,FALSE,14,0,2,1,0.739480198,FALSE,0,0,0
visual-studio,0,0.19348659,2,1,1,5.168316832,0,9,2,FALSE,14,0,2,1,0.739480198,FALSE,0,0,0
qt,0,0.178130511,2,1,1,5.613861386,0,9,2,FALSE,4,0,2,1,0.711633663,FALSE,0,0,0
laravel,0.774752475,0.243373494,8,4,4,4.108910891,0.5,7,8,FALSE,7,0,8,4,0.805693069,FALSE,0,30406,0.519230769
wordpress,1.394886689,0.253132832,12,6,6,3.95049505,0.533333333,7,12,FALSE,9.5,0,12,6,0.815594059,FALSE,0,49952,0.49122807
photoshop,0,0.225950783,2,1,1,4.425742574,0,8,2,FALSE,14,0,2,1,0.785891089,FALSE,0,0,0
html,0.057971947,0.279005525,12,6,6,3.584158416,0.866666667,7,12,FALSE,12,0,12,6,0.838490099,FALSE,0,3575,0.5
less,0,0.229024943,6,3,3,4.366336634,1,8,6,FALSE,11,0,6,3,0.78960396,FALSE,0,0,0.6875
jenkins,4.194768056,0.229024943,8,4,4,4.366336634,0.166666667,8,8,FALSE,4,0,8,4,0.78960396,FALSE,0,134394,0.318181818
django,3.280799162,0.255050505,6,3,3,3.920792079,0.333333333,7,6,FALSE,5,0,6,3,0.817450495,FALSE,0,96830,0.388888889
flask,0,0.223946785,4,2,2,4.465346535,1,7,4,FALSE,5,0,4,2,0.783415842,FALSE,0,0,0.625
postgresql,6.061480701,0.269333333,12,6,6,3.712871287,0.2,7,12,FALSE,5,0,12,6,0.830445545,FALSE,0,157691,0.21969697
