Id,betweenesscentrality,closnesscentrality,Degree,outdegree,indegree,Eccentricity,harmonicclosnesscentrality
azure,0.054,0.239336,10,5,5,8,0.312883
.net,0.002291,0.227991,16,8,8,8,0.309418
sql-server,0.003562,0.231121,18,9,9,8,0.320827
asp.net,0.174067,0.278237,26,13,13,7,0.388944
entity-framework,0.001047,0.229545,16,8,8,8,0.312577
wpf,0,0.221978,12,6,6,8,0.29327
linq,0.000026,0.222467,14,7,7,8,0.29822
wcf,0.001047,0.229545,16,8,8,8,0.312577
c#,0.055757,0.239336,28,14,14,8,0.351827
tdd,0,1,2,1,1,1,1
agile,0,1,2,1,1,1,1
codeigniter,0.007164,0.275956,12,6,6,7,0.339368
ajax,0.018885,0.291908,14,7,7,6,0.359736
jquery,0.25554,0.326861,32,16,16,6,0.438779
mysql,0.197693,0.313665,22,11,11,6,0.39835
css,0.041335,0.291066,28,14,14,7,0.393494
php,0.011547,0.283708,20,10,10,7,0.367421
javascript,0.023657,0.29023,24,12,12,7,0.385243
json,0.123198,0.277473,8,4,4,7,0.332107
cloud,0,0.186691,2,1,1,8,0.210243
amazon-web-services,0.056437,0.229025,8,4,4,7,0.274752
devops,0.015289,0.222467,6,3,3,7,0.258628
docker,0.030814,0.222958,8,4,4,7,0.263579
ios,0.038487,0.202,12,6,6,9,0.265669
android,0.031331,0.196117,6,3,3,9,0.25334
android-studio,0,0.164228,2,1,1,10,0.195175
java,0.076014,0.225951,16,8,8,8,0.302581
typescript,0.015526,0.186347,4,2,2,9,0.220301
angular,0,0.157321,2,1,1,10,0.178536
angular2,0.030741,0.227477,4,2,2,8,0.278571
angularjs,0.122868,0.29023,26,13,13,7,0.398892
ionic-framework,0,0.225446,2,1,1,8,0.269496
reactjs,0.01541,0.2525,16,8,8,8,0.333392
mongodb,0.067373,0.276712,16,8,8,7,0.356129
sass,0.006285,0.263021,18,9,9,7,0.35165
twitter-bootstrap,0,0.25964,12,6,6,7,0.333498
express,0.003554,0.248157,10,5,5,8,0.31194
node.js,0.012514,0.251244,14,7,7,8,0.326792
asp.net-web-api,0.05342,0.253769,14,7,7,8,0.343234
html5,0.006652,0.264398,20,10,10,7,0.357426
nginx,0.020336,0.258974,6,3,3,6,0.302475
apache,0.130872,0.287749,6,3,3,6,0.332343
linux,0.208402,0.276712,20,10,10,7,0.35686
scala,0.000311,1,6,3,3,1,1
apache-spark,0,0.75,4,2,2,2,0.833333
hadoop,0,0.75,4,2,2,2,0.833333
rest,0.113701,0.254408,10,5,5,7,0.304385
api,0,0.203219,2,1,1,8,0.227145
sql,0.030741,0.222467,10,5,5,8,0.29162
mvc,0,0.218143,2,1,1,8,0.263567
vb.net,0,0.220524,6,3,3,8,0.278418
bash,0.001095,0.226457,6,3,3,8,0.271275
shell,0,0.217672,4,2,2,8,0.255693
git,0.051776,0.239336,8,4,4,8,0.29162
